source_character,replacement_character,candidate_codepoint,unicode_name,glyph_similarity,area_ratio,source_identity_margin,closest_other_source,closest_other_similarity,font_path,font_size,canvas_size
p,𝗉,U+1D5C9,MATHEMATICAL SANS-SERIF SMALL P,1.0,1.0,0.3457953466773822,q,0.6542046533226178,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
q,ԛ,U+051B,CYRILLIC SMALL LETTER QA,0.9999999149475077,1.0,0.22876920065328565,g,0.7712307142942221,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
q,𝗊,U+1D5CA,MATHEMATICAL SANS-SERIF SMALL Q,0.9999999149475077,1.0,0.22876920065328565,g,0.7712307142942221,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
r,𝗋,U+1D5CB,MATHEMATICAL SANS-SERIF SMALL R,1.0000000992444127,1.0,0.5382609371648133,t,0.46173916207959936,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
s,ѕ,U+0455,CYRILLIC SMALL LETTER DZE,1.0000000618266498,1.0,0.46862145935388355,o,0.5313786024727662,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
s,ꜱ,U+A731,LATIN LETTER SMALL CAPITAL S,1.0000000618266498,1.0,0.46862145935388355,o,0.5313786024727662,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
s,𝗌,U+1D5CC,MATHEMATICAL SANS-SERIF SMALL S,1.0000000618266498,1.0,0.46862145935388355,o,0.5313786024727662,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
t,𝗍,U+1D5CD,MATHEMATICAL SANS-SERIF SMALL T,1.0,1.0,0.41553800776703387,f,0.5844619922329661,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
u,ս,U+057D,ARMENIAN SMALL LETTER SEH,1.0000001153115523,1.0,0.2770875231471319,n,0.7229125921644204,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
u,𝗎,U+1D5CE,MATHEMATICAL SANS-SERIF SMALL U,1.0000001153115523,1.0,0.2770875231471319,n,0.7229125921644204,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
v,ᴠ,U+1D20,LATIN LETTER SMALL CAPITAL V,1.0,1.0,0.6162514603585021,u,0.38374853964149785,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
v,ⅴ,U+2174,SMALL ROMAN NUMERAL FIVE,1.0,1.0,0.6162514603585021,u,0.38374853964149785,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
v,𝗏,U+1D5CF,MATHEMATICAL SANS-SERIF SMALL V,1.0,1.0,0.6162514603585021,u,0.38374853964149785,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
w,ԝ,U+051D,CYRILLIC SMALL LETTER WE,1.0000000773108324,1.0,0.6341866726578067,6,0.36581340465302564,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
w,ᴡ,U+1D21,LATIN LETTER SMALL CAPITAL W,1.0000000773108324,1.0,0.6341866726578067,6,0.36581340465302564,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
w,𝗐,U+1D5D0,MATHEMATICAL SANS-SERIF SMALL W,1.0000000773108324,1.0,0.6341866726578067,6,0.36581340465302564,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
x,х,U+0445,CYRILLIC SMALL LETTER HA,1.0,1.0,0.39602539352846067,z,0.6039746064715393,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
x,ⅹ,U+2179,SMALL ROMAN NUMERAL TEN,1.0,1.0,0.39602539352846067,z,0.6039746064715393,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
x,𝗑,U+1D5D1,MATHEMATICAL SANS-SERIF SMALL X,1.0,1.0,0.39602539352846067,z,0.6039746064715393,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
y,у,U+0443,CYRILLIC SMALL LETTER U,1.0,1.0,0.4342184049182547,7,0.5657815950817453,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
y,𝗒,U+1D5D2,MATHEMATICAL SANS-SERIF SMALL Y,1.0,1.0,0.4342184049182547,7,0.5657815950817453,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
z,ᴢ,U+1D22,LATIN LETTER SMALL CAPITAL Z,1.0,1.0,0.39602539352846067,x,0.6039746064715393,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
z,𝗓,U+1D5D3,MATHEMATICAL SANS-SERIF SMALL Z,1.0,1.0,0.39602539352846067,x,0.6039746064715393,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
