run_name,encoder_type,pooling,remove_padding,background,slice_width,stride,pad_to_width,num_epochs,max_samples,max_batches,best_val_auc,best_epoch,total_seconds,status,error
conv1d__sweep__max__nopad__black__sw16__st16,conv1d,max,False,black,16,16,,5,,,0.6239157846421345,1,996.2720718383789,ok,
conv1d__sweep__max__nopad__black__sw16__st8,conv1d,max,False,black,16,8,,5,,,0.6250445012953514,1,1045.0799443721771,ok,
conv1d__sweep__max__nopad__black__sw32__st16,conv1d,max,False,black,32,16,,5,,,0.9978911439503417,5,1028.073767900467,ok,
conv1d__sweep__max__nopad__black__sw32__st32,conv1d,max,False,black,32,32,,5,,,0.9975539753009317,5,1017.7359502315521,ok,
conv1d__sweep__max__nopad__black__sw3__st1,conv1d,max,False,black,3,1,,5,,,0.5651036089483195,1,1425.5930123329163,ok,
conv1d__sweep__max__nopad__black__sw3__st3,conv1d,max,False,black,3,3,,5,,,0.5604210401950164,2,1031.1179640293121,ok,
conv1d__sweep__max__nopad__black__sw4__st2,conv1d,max,False,black,4,2,,5,,,0.5581304541859273,3,1143.3492925167084,ok,
conv1d__sweep__max__nopad__black__sw4__st4,conv1d,max,False,black,4,4,,5,,,0.5522998478547979,5,1084.4574790000916,ok,
conv1d__sweep__max__nopad__black__sw6__st3,conv1d,max,False,black,6,3,,5,,,0.5845777722324812,2,1160.815601348877,ok,
conv1d__sweep__max__nopad__black__sw6__st6,conv1d,max,False,black,6,6,,5,,,0.5496843566467553,1,1072.6444692611694,ok,
conv1d__sweep__max__nopad__black__sw8__st4,conv1d,max,False,black,8,4,,5,,,0.5002800118217049,1,1141.084588766098,ok,
conv1d__sweep__max__nopad__black__sw8__st8,conv1d,max,False,black,8,8,,5,,,0.5290911262805176,2,1043.7905099391937,ok,
